age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,remotework,monthlysalary,annualsalary
29,no,travel_rarely,638.48,1,Grado,unknown,1264,4,mujer,64,2,4, research director ,4,divorced,,3423,3,no,14,3,2,2,9,2,2,7,1,7,0,1994,yes,14046.560000000001,166643.28
59,no,unknown,1314.68,24,Master,unknown,1283,24,hombre,67,3,3, manufacturing director ,4,single,,20002,6,no,12,3,4,0,0,6,2,9,5,4,0,1964,no,28922.960000000003,343131.48000000004
43,no,travel_rarely,488.52,4,Master,marketing,1293,4,mujer,56,2,3, sales executive ,4,single,,20364,3,no,14,3,4,0,23,3,4,21,15,17,0,1980,yes,10747.44,127503.72000000002
44,yes,travel_rarely,571.32,15,Grado,medical,1295,1,mujer,73,3,3, healthcare representative ,4,married,,14075,1,,11,3,4,1,0,2,3,10,0,5,0,1979,yes,12569.04,149114.52000000002
29,yes,unknown,741.52,7,Grado,technical degree,2181,2,mujer,39,3,1, laboratory technician ,3,divorced,,17285,3,yes,13,3,1,2,10,2,3,7,7,7,0,1994,yes,16313.439999999999,193536.72
32,no,travel_rarely,555.68,8,Grado,unknown,2182,3,hombre,56,4,2, sales executive ,4,married,,11693,1,,15,3,3,2,0,4,4,10,0,8,6209,1991,no,12224.960000000001,145032.48
36,no,travel_rarely,299.0,10,Master,technical degree,2183,4,mujer,63,3,3, healthcare representative ,3,married,,5747,3,no,12,3,1,0,0,0,3,7,1,7,7094,1987,yes,6578.0,78039.0
52,yes,unknown,947.6,5,Grado,unknown,2184,2,hombre,64,3,3, sales executive ,2,single,,21534,9,yes,19,3,3,0,0,2,2,8,7,7,0,1971,yes,20847.2,247323.6
39,no,travel_rarely,482.08,33,FP,unknown,1322,1,hombre,32,3,2, manufacturing director ,3,single,,13352,0,,11,3,1,0,0,6,0,8,1,7,4534,1984,yes,10605.76,125822.88
34,no,unknown,867.56,9,Grado,unknown,1344,4,hombre,86,3,3, healthcare representative ,4,,,5494,0,,11,,4,1,10,0,2,9,1,6,8500,1989,yes,19086.32,226433.16
38,no,unknown,928.28,2,FP,life sciences,1355,2,mujer,31,3,2, sales executive ,1,,,19461,3,,15,3,4,1,11,3,3,7,1,7,0,1985,yes,20422.160000000003,242281.08000000002
36,no,travel_frequently,558.44,12,Grado,marketing,1362,12,mujer,83,4,2, sales executive ,1,married,,2261,2,no,16,3,4,1,0,2,2,15,6,13,4639,1987,yes,12285.68,145752.84000000003
35,no,unknown,751.64,1,Grado,unknown,1369,4,mujer,60,2,2, laboratory technician ,4,,,10846,0,no,12,3,2,1,10,0,3,9,0,0,5363,1988,no,16536.079999999998,196178.04
55,yes,unknown,,13,Master,unknown,2185,1,hombre,85,4,4, sales executive ,3,,,9277,6,,17,3,3,0,0,2,2,19,3,8,0,1968,yes,,
34,no,unknown,,29,Grado,unknown,1377,2,hombre,86,3,2, laboratory technician ,3,,,17491,4,,13,3,1,2,10,1,3,8,7,7,0,1989,no,,
43,no,unknown,855.6,6,Grado,medical,1402,1,mujer,73,2,2, research scientist ,3,single,,20003,1,yes,14,3,1,0,20,3,1,20,1,8,4081,1980,no,18823.2,223311.6
42,no,travel_rarely,1055.24,10,Grado,human resources,1408,3,mujer,31,3,4, manager ,1,married,,16616,0,,14,3,3,1,21,5,3,20,0,9,0,1981,no,23215.28,275417.64
26,no,travel_rarely,599.84,7,Grado,unknown,1417,3,hombre,100,4,1, laboratory technician ,1,single,,23577,0,no,12,3,4,0,8,2,3,7,0,7,3578,1997,yes,13196.480000000001,156558.24000000002
29,yes,unknown,310.04,14,Secundaria,other,1421,3,mujer,84,3,3, healthcare representative ,4,single,,22930,0,yes,12,3,1,0,0,1,3,8,7,7,0,1994,yes,6820.88,80920.44
54,no,unknown,893.32,1,Grado,unknown,1422,4,mujer,54,3,4, research director ,4,,,5652,6,,19,3,4,0,29,3,2,20,12,7,17328,1969,no,19653.04,233156.52000000002
55,no,unknown,1045.12,1,Master,unknown,1424,2,hombre,81,4,4, research director ,4,divorced,,12414,2,no,13,3,4,2,31,4,4,7,0,0,0,1968,yes,22992.640000000003,272776.32
40,no,non-travel,609.96,9,Master,other,2186,3,hombre,81,3,2, laboratory technician ,3,,,23099,3,no,11,3,3,2,11,2,0,8,0,7,0,1983,yes,13419.12,159199.56
31,no,unknown,299.92,8,FP,unknown,2187,1,hombre,31,3,3, sales executive ,4,divorced,,8386,1,,18,,1,1,13,5,3,13,9,9,10793,1992,yes,6598.240000000001,78279.12000000001
46,yes,unknown,346.84,9,Grado,marketing,1457,1,hombre,52,3,3, sales executive ,4,divorced,,15986,4,no,11,3,1,1,28,1,4,7,4,3,0,1977,yes,7630.4800000000005,90525.24
45,no,travel_rarely,954.96,20,Grado,medical,1460,2,hombre,95,1,3, healthcare representative ,1,,,19863,2,yes,18,3,2,1,0,2,3,7,0,7,10851,1978,no,21009.120000000003,249244.56
49,no,travel_rarely,1370.8,7,Master,life sciences,1484,3,hombre,35,3,3, healthcare representative ,2,divorced,,20948,3,,14,3,2,2,29,3,3,8,0,7,10466,1974,no,30157.6,357778.8
29,no,travel_rarely,1146.32,19,Grado,unknown,1497,3,hombre,77,2,2, sales executive ,3,,,23757,1,,14,3,3,2,10,3,3,10,0,4,0,1994,yes,25219.039999999997,299189.51999999996
29,yes,unknown,206.08,1,Master,technical degree,1522,1,hombre,100,2,1, research scientist ,1,single,,7568,6,no,13,3,3,0,0,2,1,9,0,7,2362,1994,yes,4533.76,53786.880000000005
29,no,unknown,405.72,8,Secundaria,other,1544,3,mujer,39,1,2, healthcare representative ,1,,,7288,3,no,13,3,3,1,9,3,3,7,0,7,0,1994,yes,8925.84,105892.92000000001
40,no,travel_rarely,826.16,6,FP,unknown,2188,3,hombre,38,3,4, manager ,4,single,,17381,1,yes,21,4,4,0,21,2,3,21,7,7,0,1983,yes,18175.52,215627.76
48,no,unknown,,16,Master,life sciences,2189,3,mujer,96,3,2, sales executive ,3,divorced,,13693,8,no,14,3,3,1,18,2,0,8,7,7,6439,1975,yes,,
53,yes,unknown,558.44,2,Doctorado,unknown,1572,3,mujer,78,2,3, manufacturing director ,4,married,,14618,0,,16,3,2,1,0,4,3,33,1,9,0,1970,yes,12285.68,145752.84000000003
44,no,unknown,1207.96,7,Grado,medical,1608,2,mujer,31,3,5, research director ,4,,,3549,0,yes,14,,4,1,0,4,2,22,1,10,0,1979,no,26575.120000000003,315277.56
45,no,unknown,933.8,5,Doctorado,unknown,1611,3,mujer,50,1,2, laboratory technician ,1,,,23447,1,,14,3,1,0,10,3,3,10,1,4,5769,1978,no,20543.600000000002,243721.80000000002
45,no,non-travel,,26,Grado,marketing,1612,1,hombre,52,2,2, sales executive ,1,,,24162,1,,15,,1,1,10,2,0,10,4,5,4385,1978,no,,
34,no,travel_frequently,391.92,10,Master,unknown,1615,3,hombre,42,4,2, manufacturing director ,4,,,17000,1,,13,3,1,1,9,3,0,9,7,2,0,1989,yes,8622.24,102291.12000000001
39,no,unknown,1276.04,10,Doctorado,medical,2190,2,hombre,76,3,2, manufacturing director ,1,,,3835,2,,13,3,4,3,0,3,3,7,7,7,0,1984,no,28072.879999999997,333046.44
27,no,unknown,1197.84,36,Grado,unknown,1619,36,hombre,64,2,1, laboratory technician ,1,divorced,,16290,1,no,11,3,1,2,7,3,3,7,0,7,4066,1996,yes,26352.480000000003,312636.24000000005
45,no,travel_rarely,1222.68,2,FP,unknown,1635,4,mujer,59,2,2, manufacturing director ,4,divorced,,5388,1,,19,3,1,2,10,3,3,10,3,9,0,1978,yes,26898.960000000003,319119.48000000004
44,no,unknown,553.84,1,Doctorado,unknown,1642,1,hombre,37,3,2, human resources ,4,married,,10503,4,yes,11,3,3,0,14,3,3,10,0,2,0,1979,yes,12184.480000000001,144552.24000000002
25,no,unknown,710.24,2,Secundaria,life sciences,1653,4,hombre,77,4,2, manufacturing director ,3,divorced,,4973,1,,17,3,3,2,7,6,3,7,0,7,5206,1998,no,15625.28,185372.64
49,no,unknown,744.28,1,Grado,unknown,2191,3,hombre,36,3,4, manager ,3,single,,22384,4,,14,3,1,0,23,2,3,8,0,0,0,1974,yes,16374.160000000002,194257.08000000002
48,yes,travel_frequently,,7,FP,unknown,1691,4,mujer,95,3,1, sales representative ,3,,,11740,2,,11,,3,2,19,3,3,9,7,7,2655,1975,no,,
26,no,unknown,723.12,7,Grado,medical,1693,4,hombre,76,3,1, laboratory technician ,4,,,11925,1,no,20,4,3,0,7,5,3,7,5,7,2570,1997,yes,15908.64,188734.32
44,no,travel_rarely,847.32,2,Grado,life sciences,1703,3,mujer,96,4,3, healthcare representative ,4,,,14810,1,,19,,2,1,0,2,3,8,6,7,0,1979,yes,18641.04,221150.52000000002
36,no,unknown,487.6,2,Master,unknown,2192,3,mujer,51,3,2, sales representative ,4,single,,7439,3,,15,,3,0,17,2,2,13,6,7,4502,1987,yes,10727.2,127263.6
46,no,unknown,659.64,13,Master,unknown,1727,3,hombre,34,3,2, healthcare representative ,2,single,,9697,6,no,14,3,4,0,19,3,3,10,0,9,0,1977,yes,14512.08,172166.04
35,no,unknown,1260.4,27,Master,life sciences,1728,4,hombre,49,3,2, manufacturing director ,3,married,,5151,2,,16,3,2,1,17,3,3,7,0,7,0,1988,yes,27728.800000000003,328964.4
30,no,travel_frequently,1207.04,2,Master,unknown,1745,4,mujer,78,2,1, research scientist ,1,,,26427,0,,16,3,4,0,10,2,0,9,0,7,4968,1993,no,26554.879999999997,315037.44
30,no,unknown,900.68,15,FP,marketing,1754,3,hombre,94,2,3, sales executive ,1,,,3088,2,no,11,3,1,1,0,2,3,7,1,7,0,1993,yes,19814.960000000003,235077.48
33,no,non-travel,1180.36,2,Grado,marketing,1756,4,mujer,62,3,2, sales executive ,2,,,10697,8,no,15,3,4,0,13,2,2,11,1,7,5147,1990,yes,25967.920000000002,308073.96
32,no,unknown,876.76,5,Master,unknown,1764,2,hombre,65,3,1, research scientist ,2,single,,17674,2,no,14,3,2,0,12,3,3,7,0,7,2718,1991,yes,19288.72,228834.36
43,no,travel_rarely,224.48,2,Grado,life sciences,1778,2,hombre,97,3,1, human resources ,4,,,5033,0,no,13,3,2,0,0,5,3,9,1,8,3539,1980,no,4938.56,58589.280000000006
31,no,travel_rarely,180.32,29,Master,marketing,2193,1,mujer,91,2,2, sales executive ,4,,,13402,1,,14,3,1,2,0,3,3,12,5,7,5468,1992,yes,3967.0400000000004,47063.520000000004
35,yes,unknown,278.76,27,Grado,unknown,1797,3,hombre,84,3,2, sales executive ,4,,,13492,1,,18,3,4,0,0,2,3,10,7,7,5813,1988,no,6132.719999999999,72756.36
35,no,non-travel,1085.6,2,FP,medical,1804,2,hombre,90,3,2, manufacturing director ,4,divorced,,24442,2,no,14,3,3,1,15,6,3,7,1,7,0,1988,no,23883.200000000004,283341.60000000003
30,no,unknown,1004.64,10,Grado,medical,1816,1,mujer,64,3,3, manufacturing director ,3,single,,2739,9,no,14,3,2,0,9,3,3,7,0,2,9667,1993,no,22102.08,262211.04000000004
46,yes,travel_rarely,240.12,19,FP,medical,1821,4,mujer,66,3,2, healthcare representative ,2,married,,10842,4,no,22,4,4,1,13,2,4,9,3,7,0,1977,no,5282.64,62671.32
45,no,non-travel,541.88,2,Master,unknown,2194,3,mujer,67,3,2, sales executive ,3,married,,19665,4,,22,4,2,2,10,3,4,8,5,7,5154,1978,no,11921.36,141430.68
43,no,travel_frequently,1308.24,2,Master,life sciences,1849,1,hombre,92,3,2, sales executive ,4,married,,19246,1,,20,4,3,1,7,5,3,7,7,7,5675,1980,no,28781.28,341450.64
46,yes,unknown,,10,Grado,life sciences,1869,3,mujer,64,3,3, sales executive ,2,,,14011,5,,21,4,3,3,14,2,3,8,0,7,7314,1977,yes,,
40,no,travel_rarely,1046.04,1,Master,unknown,2195,1,hombre,98,3,4, manager ,1,,,18991,2,,11,3,1,1,22,3,0,19,11,16,0,1983,yes,23012.879999999997,273016.44
27,no,travel_rarely,470.12,2,FP,unknown,1898,1,mujer,89,4,2, sales executive ,3,single,,26997,0,no,14,3,2,0,9,5,2,8,0,7,0,1996,no,10342.64,122701.32
42,no,unknown,1284.32,6,Grado,medical,1911,3,hombre,83,3,3, research director ,1,married,,14842,9,no,13,3,2,1,18,3,4,13,5,7,0,1981,yes,28255.040000000005,335207.52
26,no,travel_frequently,1008.32,6,Grado,other,2196,3,hombre,61,4,1, laboratory technician ,4,married,,7102,0,no,18,3,1,1,8,3,3,7,7,7,0,1997,yes,22183.04,263171.52
28,no,travel_frequently,,1,FP,life sciences,1927,3,hombre,42,2,2, sales executive ,4,married,,19255,1,,12,3,3,1,7,2,3,7,0,7,0,1995,yes,,
47,no,unknown,1075.48,14,Master,unknown,1934,3,hombre,64,3,2, research scientist ,2,married,,2125,8,,18,3,3,1,0,4,4,8,1,7,0,1976,no,23660.56,280700.28
34,no,travel_rarely,1139.88,13,Master,medical,1951,4,hombre,39,3,3, sales executive ,3,divorced,,22914,1,no,18,3,3,1,9,2,2,8,1,1,0,1989,yes,25077.36,297508.68000000005
26,no,unknown,144.44,1,Grado,medical,1952,3,hombre,95,3,1, laboratory technician ,1,single,,20006,0,no,13,3,4,0,8,6,0,7,7,6,0,1997,yes,3177.68,37698.84
27,no,travel_rarely,877.68,9,Grado,unknown,1965,4,hombre,44,3,2, sales executive ,4,,,5099,1,,14,3,1,0,0,5,0,7,0,7,0,1996,no,19308.960000000003,229074.48
31,yes,travel_frequently,693.68,26,Master,marketing,1967,1,hombre,63,3,2, sales executive ,4,,,21075,1,yes,11,3,3,0,10,4,3,10,0,8,0,1992,yes,15260.960000000001,181050.48
33,no,travel_frequently,1198.76,7,FP,life sciences,2197,4,hombre,64,3,2, healthcare representative ,3,divorced,,18079,1,,20,,3,3,9,2,3,9,2,8,0,1990,yes,26372.72,312876.36
31,no,unknown,641.24,10,Grado,unknown,1979,3,mujer,40,3,3, research director ,3,married,,26862,4,no,20,4,3,1,13,2,4,11,4,8,0,1992,yes,14107.28,167363.64
35,no,unknown,1283.4,9,Master,medical,2008,2,hombre,48,3,2, research scientist ,3,,,18698,1,no,19,3,2,0,10,5,3,10,0,8,5098,1988,yes,28234.800000000003,334967.4
33,no,travel_rarely,460.92,15,FP,unknown,2009,2,mujer,95,3,2, healthcare representative ,4,married,,21653,0,yes,13,,1,1,0,6,3,9,8,1,0,1990,yes,10140.24,120300.12000000001
39,no,travel_rarely,106.72,24,Secundaria,life sciences,2014,1,hombre,52,3,2, research scientist ,4,single,,5340,7,no,13,,1,0,0,2,3,7,1,7,0,1984,no,2347.84,27853.92
36,no,travel_rarely,512.44,46,Grado,unknown,2198,46,mujer,94,2,3, sales executive ,4,married,,12695,0,no,19,3,3,2,10,2,3,9,3,4,0,1987,yes,11273.68,133746.84000000003
41,no,travel_rarely,535.44,28,Master,life sciences,2034,1,mujer,60,2,4, manufacturing director ,2,married,,5640,0,no,23,,3,1,21,3,3,20,0,10,13570,1982,yes,11779.68,139749.84000000003
34,no,unknown,647.68,28,Grado,marketing,2035,4,mujer,95,2,2, sales executive ,3,married,,8978,1,no,21,4,4,2,8,2,3,8,1,7,6712,1989,no,14248.960000000001,169044.48
38,no,travel_rarely,,10,FP,unknown,2199,1,mujer,100,3,2, sales executive ,4,married,,5982,1,no,11,3,3,1,10,1,3,10,1,9,0,1985,yes,,
39,no,travel_rarely,563.96,6,Secundaria,unknown,2062,4,hombre,42,2,3, healthcare representative ,1,,,21457,4,,15,3,1,1,0,5,3,7,1,7,9991,1984,yes,12407.12,147193.56
34,no,travel_rarely,385.48,7,Master,unknown,28,1,mujer,53,3,3, research director ,2,single,,21293,0,no,11,,3,0,0,4,3,12,2,11,0,1989,no,8480.560000000001,100610.28
44,no,travel_rarely,438.84,7,Master,medical,2200,1,mujer,42,2,3, healthcare representative ,4,married,,2094,3,,14,,4,1,24,4,3,22,5,17,10248,1979,yes,9654.480000000001,114537.24
46,no,unknown,1114.12,5,Master,unknown,62,1,hombre,98,3,2, sales executive ,4,single,,20445,4,,21,,3,0,14,4,3,9,0,8,0,1977,yes,24510.640000000003,290785.32
41,no,travel_frequently,788.44,10,Grado,life sciences,199,4,hombre,91,2,4, manager ,1,divorced,,12888,4,,13,3,2,1,0,2,2,7,7,7,0,1982,no,17345.68,205782.84000000003
39,no,unknown,464.6,2,Master,unknown,343,3,mujer,64,3,3, healthcare representative ,3,single,,6420,0,no,25,4,4,0,20,1,3,19,11,8,10938,1984,no,10221.2,121260.6
42,no,travel_rarely,247.48,2,Grado,medical,351,4,mujer,56,2,1, laboratory technician ,1,divorced,,8007,0,yes,11,3,3,1,10,4,3,9,7,8,2593,1981,yes,5444.56,64592.280000000006
33,no,travel_frequently,508.76,5,Master,unknown,428,4,mujer,74,3,3, manager ,2,married,,23364,6,,11,,2,2,12,2,3,10,8,8,11878,1990,yes,11192.720000000001,132786.36000000002
35,no,travel_rarely,1192.32,5,Master,technical degree,464,3,hombre,62,3,3, manufacturing director ,2,single,,18264,0,no,13,3,4,0,17,5,3,16,0,13,8095,1988,yes,26231.040000000005,311195.52
33,yes,travel_rarely,1174.84,15,Secundaria,medical,2201,2,hombre,56,3,3, manager ,3,married,,24619,7,,12,3,4,0,15,2,4,7,7,7,0,1990,yes,25846.480000000003,306633.24000000005
40,no,travel_rarely,277.84,6,Grado,life sciences,2202,2,mujer,75,3,4, manufacturing director ,3,single,,20364,7,no,15,3,3,0,22,3,3,20,5,13,0,1983,no,6112.4800000000005,72516.24
41,no,travel_rarely,392.84,10,Master,human resources,731,2,hombre,73,2,5, manager ,4,divorced,,8861,3,no,15,3,2,3,23,2,2,21,12,6,0,1982,no,8642.480000000001,102531.24
27,no,unknown,897.0,7,Grado,unknown,764,4,mujer,55,2,2, healthcare representative ,1,,,23398,8,no,19,3,1,0,0,2,1,7,0,7,0,1996,no,19734.0,234117.0
52,no,travel_rarely,571.32,3,Master,marketing,2203,3,hombre,31,2,4, manager ,1,,,10084,1,,11,3,1,0,0,3,4,34,1,16,16856,1971,yes,12569.04,149114.52000000002
51,no,travel_rarely,1212.56,26,Master,marketing,851,1,mujer,66,3,4, manager ,3,married,,5594,2,no,14,3,3,1,0,2,2,20,4,17,0,1972,no,26676.32,316478.16
47,no,travel_rarely,229.08,2,FP,marketing,903,3,mujer,35,3,2, sales executive ,4,,,17783,0,,22,4,1,1,8,2,3,7,7,7,4537,1976,yes,5039.76,59789.880000000005
50,no,non-travel,810.52,2,Master,unknown,905,1,hombre,98,3,4, manager ,1,divorced,,4544,1,,11,3,4,1,31,3,3,31,14,7,17924,1973,no,17831.44,211545.72
35,no,travel_rarely,1046.04,21,Secundaria,life sciences,942,4,mujer,51,3,2, healthcare representative ,4,married,,19170,1,,25,4,4,1,10,2,1,10,0,7,4014,1988,yes,23012.879999999997,273016.44
39,no,travel_rarely,428.72,1,Secundaria,unknown,1026,4,mujer,65,2,4, manufacturing director ,4,married,,7060,1,no,16,3,3,1,0,3,3,21,11,8,12742,1984,yes,9431.84,111895.92000000001
39,no,travel_frequently,869.4,22,Grado,medical,2204,4,mujer,82,3,3, manufacturing director ,1,single,,5083,1,,13,3,3,0,0,2,3,21,2,8,0,1984,no,19126.800000000003,226913.40000000002
41,no,unknown,468.28,7,FP,unknown,1085,2,mujer,43,4,1, research scientist ,3,,,18863,1,no,13,3,3,0,0,3,3,10,0,8,3376,1982,no,10302.16,122221.08
44,yes,unknown,1265.92,1,FP,medical,2205,2,hombre,91,2,3, human resources ,1,married,,2326,9,no,14,,4,1,24,1,3,20,3,6,10482,1979,yes,27850.24,330405.12
42,no,unknown,431.48,2,FP,medical,1109,4,hombre,35,3,4, manager ,1,,,14399,0,no,17,3,4,1,23,3,3,22,13,7,0,1981,no,9492.560000000001,112616.28
52,no,travel_rarely,914.48,7,Master,life sciences,1118,2,hombre,87,3,3, healthcare representative ,2,single,,15322,7,,19,3,4,0,18,4,0,8,4,0,0,1971,yes,20118.56,238679.28
38,no,unknown,398.36,1,Grado,unknown,1152,3,hombre,37,4,1, human resources ,3,,,6004,1,no,13,3,4,1,7,2,4,7,5,0,0,1985,yes,8763.92,103971.96
46,no,unknown,911.72,1,FP,life sciences,2206,4,mujer,44,3,1, human resources ,1,,,22957,6,,12,3,3,0,10,3,4,7,5,7,0,1977,yes,20057.84,237958.92
35,no,unknown,443.44,4,Master,life sciences,1350,3,hombre,87,3,2, research scientist ,3,single,,2690,1,,11,3,2,0,0,3,3,9,1,1,4249,1988,no,9755.68,115737.84
28,no,travel_rarely,996.36,29,Secundaria,life sciences,1514,3,hombre,96,1,2, manufacturing director ,2,married,,3173,1,,14,,2,2,8,2,2,8,1,7,6549,1995,yes,21919.920000000002,260049.96
44,no,unknown,125.12,28,Grado,life sciences,1523,4,hombre,32,3,4, research director ,1,married,,22074,3,no,13,3,3,1,0,1,4,20,14,17,0,1979,yes,2752.6400000000003,32656.32
50,no,unknown,306.36,22,Doctorado,unknown,1539,3,hombre,88,1,4, research director ,4,,,24450,1,,13,3,4,0,0,2,3,32,13,9,14411,1973,no,6739.92,79959.96
55,no,travel_rarely,630.2,23,Doctorado,marketing,2207,3,hombre,60,2,5, manager ,4,,,23037,1,no,21,4,3,1,36,3,3,36,2,13,19586,1968,yes,13864.400000000001,164482.2
39,no,unknown,1345.04,6,Grado,unknown,1588,4,hombre,38,4,3, sales executive ,3,married,,4658,2,no,11,3,1,1,11,3,3,7,7,6,8237,1984,yes,29590.879999999997,351055.44
49,no,unknown,664.24,13,Master,unknown,1617,13,mujer,84,3,1, laboratory technician ,1,,,22102,1,,14,3,4,1,10,3,2,9,1,4,3211,1974,yes,14613.28,173366.64
45,no,unknown,,28,FP,technical degree,1719,4,mujer,48,2,4, research director ,2,single,,17119,1,,11,,3,0,21,2,3,21,8,6,16704,1978,no,,
46,no,unknown,1174.84,2,Grado,unknown,2208,3,hombre,74,3,3, sales executive ,4,,,5596,4,,12,3,2,1,0,5,2,10,0,3,0,1977,no,25846.480000000003,306633.24000000005
27,no,unknown,1040.52,15,Grado,unknown,1870,4,mujer,77,2,1, research scientist ,1,married,,23844,0,no,19,3,4,1,0,2,0,7,7,3,4774,1996,no,22891.44,271575.72
42,no,travel_rarely,276.0,2,Grado,unknown,2031,1,hombre,56,3,5, manager ,3,married,,17312,5,,11,3,1,0,24,2,2,22,4,14,0,1981,yes,6072.0,72036.0
49,no,unknown,941.16,2,Grado,unknown,2065,4,hombre,63,2,2, sales executive ,2,married,,13243,2,,14,3,4,0,17,3,2,9,0,8,0,1974,yes,20705.52,245642.76
29,no,travel_rarely,140.76,15,FP,life sciences,15,4,mujer,49,2,2, laboratory technician ,3,single,,12682,0,yes,12,3,4,0,10,3,3,9,0,8,0,1994,yes,3096.7200000000003,36738.36000000001
34,no,non-travel,979.8,12,Master,marketing,60,12,hombre,72,3,2, sales executive ,3,,,10034,0,no,20,4,3,0,0,2,3,9,8,7,4568,1989,no,21555.600000000002,255727.80000000002
37,no,unknown,1025.8,1,Master,unknown,2209,1,hombre,51,2,2, manufacturing director ,3,divorced,,2689,1,no,18,3,3,1,0,2,0,7,0,7,5993,1986,no,22567.6,267733.8
36,no,unknown,1099.4,11,Grado,unknown,85,2,hombre,95,2,2, manufacturing director ,2,single,,22656,1,no,13,3,3,0,6,3,3,6,0,3,6499,1987,yes,24186.800000000003,286943.4
45,no,unknown,1210.72,29,Grado,unknown,2210,3,hombre,83,3,1, research scientist ,4,single,,9752,5,,13,3,2,0,9,2,2,6,0,3,3452,1978,yes,26635.84,315997.92
29,no,travel_rarely,611.8,15,Grado,unknown,346,3,hombre,60,3,1, research scientist ,4,,,22673,1,no,19,3,1,0,6,1,3,6,1,5,0,1994,no,13459.600000000002,159679.80000000002
26,no,unknown,1360.68,1,Grado,unknown,384,3,mujer,84,3,2, manufacturing director ,2,,,26767,1,no,20,4,1,1,6,6,1,6,1,4,6397,1997,no,29934.960000000003,355137.48000000004
28,no,unknown,279.68,9,Master,life sciences,498,2,hombre,92,3,2, sales executive ,4,single,,20750,1,no,16,3,4,0,0,1,3,7,0,7,0,1995,yes,6152.96,72996.48
42,no,travel_frequently,1258.56,30,Master,technical degree,551,4,mujer,64,2,2, healthcare representative ,4,married,,4386,0,no,11,3,4,3,7,4,4,6,0,4,0,1981,yes,27688.32,328484.16
31,no,travel_rarely,761.76,2,Secundaria,life sciences,604,2,hombre,77,3,2, sales executive ,4,,,8346,4,yes,13,3,3,0,10,2,4,6,0,5,0,1992,yes,16758.72,198819.36
37,no,travel_rarely,735.08,47,Grado,unknown,2211,47,mujer,59,3,3, manufacturing director ,4,single,,23848,4,,17,3,4,0,0,3,4,6,1,2,0,1986,yes,16171.76,191855.88
37,no,non-travel,130.64,9,Master,unknown,626,1,hombre,69,3,3, sales executive ,2,divorced,,24666,1,no,13,3,4,1,9,6,3,9,7,7,0,1986,no,2874.0800000000004,34097.04
37,no,travel_rarely,410.32,1,Master,life sciences,2212,2,mujer,65,3,2, manufacturing director ,2,married,,15701,6,,12,3,2,1,8,2,2,6,4,3,0,1986,no,9027.039999999999,107093.52
24,no,travel_rarely,635.72,23,Grado,medical,2213,2,hombre,89,4,1, research scientist ,4,,,21630,1,,11,3,2,2,0,3,3,6,1,4,2725,1999,yes,13985.84,165922.92
50,no,unknown,1146.32,3,Grado,unknown,644,1,hombre,99,3,5, manager ,2,married,,7999,1,no,11,3,3,1,0,2,3,32,10,7,0,1973,no,25219.039999999997,299189.51999999996
34,no,unknown,233.68,1,FP,life sciences,649,2,hombre,83,2,1, research scientist ,4,,,22794,1,yes,13,3,4,1,6,3,3,6,1,3,3622,1989,yes,5140.96,60990.48
27,no,travel_frequently,1297.2,3,Secundaria,medical,714,4,mujer,71,4,2, sales executive ,4,,,16673,1,,20,,2,2,0,3,3,6,0,4,0,1996,no,28538.4,338569.2
25,no,unknown,812.36,42,Secundaria,unknown,781,42,mujer,32,3,2, sales executive ,4,single,,22807,1,no,23,4,2,0,6,5,2,6,1,4,6180,1998,no,17871.920000000002,212025.96
34,no,unknown,279.68,25,Grado,other,2214,4,hombre,60,3,2, sales executive ,4,single,,18686,1,no,22,4,3,0,6,5,3,6,1,4,6274,1989,yes,6152.96,72996.48
34,no,unknown,111.32,2,Master,unknown,804,3,mujer,86,2,1, research scientist ,1,,,7530,1,,11,,3,0,6,3,3,6,1,3,4381,1989,yes,2449.04,29054.52
35,no,unknown,874.0,7,Grado,other,2215,3,hombre,59,3,3, manufacturing director ,3,single,,18869,3,no,21,4,2,0,17,3,4,8,1,6,0,1988,no,19228.0,228114.0
35,no,unknown,1235.56,16,Secundaria,medical,856,16,mujer,53,2,1, research scientist ,1,,,17852,1,,11,3,4,0,6,3,2,6,1,1,2559,1988,no,27182.32,322481.16
33,no,unknown,760.84,1,Master,unknown,998,3,mujer,84,4,2, healthcare representative ,2,married,,20161,1,yes,13,3,1,1,0,2,3,6,1,2,5488,1990,yes,16738.48,198579.24000000002
29,no,unknown,1018.44,28,Master,life sciences,1120,3,mujer,93,3,1, research scientist ,4,divorced,,26968,4,no,22,4,1,1,11,1,3,7,1,7,2514,1994,no,22405.68,265812.84
29,no,travel_frequently,450.8,10,Grado,unknown,1143,4,mujer,61,3,1, research scientist ,2,divorced,,17940,0,no,14,3,4,2,8,2,2,7,1,1,0,1994,yes,9917.6,117658.8
